"created_utc","id","value","number_of_data_points","metric_id","location_id","datetime_interval_id","forecast_horizon_minutes","id-2","name","description","id-3","start_datetime_utc","end_datetime_utc","elexon_settlement_period","is_primary","id-4","label","gsp_id","gsp_name","gsp_group","region_name","installed_capacity_mw"
"2022-11-02 13:01:13.998527+00",98338,125.67915568812276,48,1,339,201,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",201,"2022-11-01 00:00:00","2022-11-02 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-11-03 13:01:19.769313+00",99644,131.22060410878274,48,1,339,202,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",202,"2022-11-02 00:00:00","2022-11-03 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-11-04 13:01:04.983946+00",100950,75.90151328166668,48,1,339,203,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",203,"2022-11-03 00:00:00","2022-11-04 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-11-05 13:01:05.264598+00",102256,161.90821691041674,48,1,339,204,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",204,"2022-11-04 00:00:00","2022-11-05 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-11-06 13:01:25.728672+00",103562,67.60182416666667,48,1,339,205,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",205,"2022-11-05 00:00:00","2022-11-06 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-11-07 13:01:17.717204+00",104868,89.64476658249998,48,1,339,206,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",206,"2022-11-06 00:00:00","2022-11-07 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-11-08 13:01:04.112017+00",106174,63.319727660416675,48,1,339,207,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",207,"2022-11-07 00:00:00","2022-11-08 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-11-09 13:01:07.813593+00",107480,99.32550749999997,48,1,339,208,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",208,"2022-11-08 00:00:00","2022-11-09 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-11-10 13:01:10.508555+00",108786,85.00036569583332,48,1,339,209,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",209,"2022-11-09 00:00:00","2022-11-10 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-11-11 13:01:23.454074+00",110092,126.14343336062501,48,1,339,210,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",210,"2022-11-10 00:00:00","2022-11-11 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-11-12 13:01:20.658126+00",111398,179.81895935783328,48,1,339,211,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",211,"2022-11-11 00:00:00","2022-11-12 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-11-13 13:01:11.209827+00",112704,223.86003609081249,48,1,339,212,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",212,"2022-11-12 00:00:00","2022-11-13 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-11-14 13:01:11.786006+00",114010,187.98297405608332,48,1,339,213,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",213,"2022-11-13 00:00:00","2022-11-14 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-11-15 13:01:07.244427+00",115316,132.55826881698522,48,1,339,214,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",214,"2022-11-14 00:00:00","2022-11-15 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-11-16 13:01:15.401394+00",116622,79.26053120833333,48,1,339,215,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",215,"2022-11-15 00:00:00","2022-11-16 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-11-17 13:01:11.638264+00",117928,67.34698480522917,48,1,339,216,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",216,"2022-11-16 00:00:00","2022-11-17 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-11-18 13:01:13.790257+00",119234,69.15944741854169,48,1,339,217,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",217,"2022-11-17 00:00:00","2022-11-18 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-11-19 13:01:23.43957+00",120540,129.2322477522917,48,1,339,218,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",218,"2022-11-18 00:00:00","2022-11-19 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-11-20 13:01:03.445668+00",121846,149.48530469187497,48,1,339,219,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",219,"2022-11-19 00:00:00","2022-11-20 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-11-21 13:01:04.42988+00",123152,174.01029440120828,48,1,339,220,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",220,"2022-11-20 00:00:00","2022-11-21 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-11-22 13:01:04.108307+00",124458,23.98645504721958,48,1,339,221,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",221,"2022-11-21 00:00:00","2022-11-22 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-11-23 13:01:28.567603+00",125764,145.22425375,48,1,339,222,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",222,"2022-11-22 00:00:00","2022-11-23 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-11-24 13:01:09.39267+00",127070,156.4813016666667,48,1,339,223,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",223,"2022-11-23 00:00:00","2022-11-24 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-11-25 13:01:05.592105+00",128376,59.86563125000003,48,1,339,224,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",224,"2022-11-24 00:00:00","2022-11-25 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-11-26 13:01:21.203224+00",129682,234.35056020833335,48,1,339,225,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",225,"2022-11-25 00:00:00","2022-11-26 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-11-27 13:01:03.424729+00",130988,46.59555541666666,48,1,339,226,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",226,"2022-11-26 00:00:00","2022-11-27 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-11-28 13:01:12.181581+00",132294,0,5,1,339,227,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",227,"2022-11-27 00:00:00","2022-11-28 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-11-29 13:01:29.031139+00",133600,491.8074465000001,20,1,339,228,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",228,"2022-11-28 00:00:00","2022-11-29 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
